Timestamp,Column 24,Column 25,Age,Gender,Do you listen to groove/funk/slowed-reverb music?,Where did you discover this music?,How many times do you replay the same groove music?,"After listening to groove music, how do you feel?",Have you ever imagined yourself as:,Do groove edits increase your confidence temporarily?,Have you ever searched the original song after seeing a short edit?,Do you sometimes feel an urge to replay the music again?,Do these songs stay in your head after stopping?,Do groove songs help you work or study?,Do they sometimes distract you from work?,Why do you think groove/funk music is popular?,Describe your personal experience with groove/funk music.,"  After watching one groove edit, does YouTube/Instagram recommend similar videos?  ",  Have you discovered new songs because of recommendations?  ,  Do recommendations make you watch more groove content than planned?  ,  Which platform recommends groove content most frequently?  ,  Do recommendation algorithms influence your music choices?  ,Column 16,Column 1
6/23/2026 12:50:13,Anonymous,Qualified,56,Female,Rarely,Facebook ,1–2 times,No change,Future,Disagree,No,Never,Sometimes,Agree,Rarely,,,,,,,,,
6/23/2026 13:00:41,Anonymous,Qualified,21,Male,Daily,YouTube Shorts,Many times,More energetic,Celebrity,Strongly agree,,Often,Often,Strongly agree,Often,,,,,,,,,
6/23/2026 18:50:03,Anonymous,Qualified,21,Male,Weekly,Instagram Reels,10+ times,More energetic,Athlete,Neutral,Yes,Sometimes,Often,Neutral,Sometimes,,,,,,,,,
6/23/2026 18:57:27,Anonymous,Qualified,19,Male,Daily,YouTube Shorts,1–2 times,More motivated,Leader,Strongly agree,Yes,Sometimes,Often,Neutral,Sometimes,,,,,,,,,
6/23/2026 19:07:07,Anonymous,Qualified,20,Female,Weekly,YouTube Shorts,1–2 times,More energetic,Successful entrepreneur,Neutral,Maybe,Sometimes,Often,Agree,Rarely,They lower stress and keep us more concentrated in work,I play them when feel tired or bored and I think they help me to relax ,,,,,,,
6/23/2026 21:09:29,Anonymous,Qualified,20,Prefer not to say,Weekly,TikTok,3–5 times,More motivated,Athlete,Strongly agree,Yes,Sometimes,Sometimes,Neutral,Sometimes,,,,,,,,,
6/23/2026 21:39:52,Anonymous,Qualified,27,Male,Never,Spotify ,,,Never,Disagree,,,,,,,,,,,,,,
6/24/2026 10:52:42,Anonymous,Qualified,19,Male,Rarely,YouTube Shorts,3–5 times,More energetic,Successful entrepreneur,Strongly agree,No,Sometimes,Often,Disagree,Rarely,because of the instant dopamine hit.,I am not used to funk untill i heard these from my frnds..then started listening to those edited songs....they gave me a non real pleasure and energy for a short time period.,,,,,,,
6/24/2026 23:02:45,Anonymous,Qualified,56,Female,Daily,YouTube Shorts,1–2 times,More energetic,Leader,Agree,Yes,Sometimes,Sometimes,Agree,Never,Relaxtation,More energetic ,Sometimes,No,Sometimes,Instagram,Agree,,
6/25/2026 5:32:44,Anonymous,Qualified,27,Male,Daily,TikTok,10+ times,More motivated,Celebrity,Agree,Yes,Often,Often,Strongly agree,Rarely,Groove and funk music are popular because they have infectious rhythms and positive vibes that make people want to move and have fun.,"I enjoy groove and funk music because it energizes me and often serves as a soundtrack for my creative work, enhancing my mood and focus.

Oh and by the way, if you're still looking for respondents, surveyswap.io really helped me when I was running a survey myself last year. You fill in surveys from others and get free respondents in return. Perhaps it's also helpful to you. Anyway, good luck with the study!",Often,Yes,Often,TikTok,Agree,,
